그룹,테마,종목명,코드,시가총액(억원),종가,52주 고점,고점일,고점대비 하락률(%),3개월 저점,저점일,저점대비 상승률(%)
IT·플랫폼,소프트웨어·SI,현대오토에버,307950,125053,413500,1066000,2026-06-01,-61.2,305000,2026-07-29,35.6
IT·플랫폼,소프트웨어·SI,LG씨엔에스,064400,70727,74400,153300,2026-06-02,-51.5,57700,2026-07-30,28.9
IT·플랫폼,소프트웨어·SI,포스코DX,022100,31319,21150,45600,2026-01-21,-53.6,16510,2026-07-30,28.1
제약·바이오,제약,알테오젠,196170,171744,311500,437818,2025-11-14,-28.9,194671,2026-07-14,60.0
제약·바이오,제약,펩트론,087010,42717,188200,392500,2025-11-20,-52.1,98000,2026-07-14,92.0
제약·바이오,제약,삼천당제약,000250,39784,172800,1233000,2026-03-30,-86.0,120000,2026-07-29,44.0
자동차,자동차부품,현대모비스,012330,451848,451500,822000,2026-06-01,-45.1,420500,2026-07-28,7.4
자동차,자동차부품,LG전자,066570,325444,198300,438000,2026-06-02,-54.7,141900,2026-07-29,39.7
자동차,자동차부품,한온시스템,018880,36176,3480,5940,2026-05-27,-41.4,2975,2026-07-29,17.0
제약·바이오,신약 개발,에스케이바이오팜,326030,67663,88000,144100,2025-11-28,-38.9,73000,2026-07-30,20.5
제약·바이오,신약 개발,유한양행,000100,67143,82700,129200,2025-11-14,-36.0,65000,2026-06-26,27.2
제약·바이오,신약 개발,HLB,028300,51015,35450,69200,2026-01-28,-48.8,24150,2026-07-14,46.8
전자부품,전자부품·커넥터,삼성전기,009150,1017328,1385000,2417000,2026-06-19,-42.7,865000,2026-07-30,60.1
전자부품,전자부품·커넥터,LG이노텍,011070,134903,597000,1788000,2026-06-01,-66.6,416000,2026-07-30,43.5
전자부품,전자부품·커넥터,이수페타시스,007660,78474,112800,164400,2026-04-22,-31.4,57900,2026-07-30,94.8
소비재,의류·패션,영원무역,111770,33632,73400,103200,2026-03-03,-28.9,68200,2026-06-24,7.6
소비재,의류·패션,F&amp;F,383220,24325,63100,89000,2026-06-10,-29.1,59900,2026-08-04,5.3
소비재,의류·패션,미스토홀딩스,081660,22458,40800,55800,2026-02-10,-26.9,36300,2026-06-01,12.4
