종목코드,종목명,구분,조각,비중,기준보고서,기준일
079940,가비아,매출 구성,클라우드 및 IT서비스,53.1,반기보고서 (2026.06),2026-08-14
079940,가비아,매출 구성,"IX, IDC",31.4,반기보고서 (2026.06),2026-08-14
079940,가비아,매출 구성,보안,12.3,반기보고서 (2026.06),2026-08-14
079940,가비아,매출 구성,기타,3.2,반기보고서 (2026.06),2026-08-14
078890,가온그룹,매출 구성,OTT,56,반기보고서 (2026.06),2026-08-14
078890,가온그룹,매출 구성,네트워크,44,반기보고서 (2026.06),2026-08-14
000500,가온전선,매출 구성,전력사업부,75.2,반기보고서 (2026.06),2026-08-14
000500,가온전선,매출 구성,특수케이블사업부,18.3,반기보고서 (2026.06),2026-08-14
000500,가온전선,매출 구성,통신사업부,5.7,반기보고서 (2026.06),2026-08-14
000500,가온전선,매출 구성,목드럼사업부,0.8,반기보고서 (2026.06),2026-08-14
399720,가온칩스,매출 구성,발행가액,49.4,반기보고서 (2026.06),2026-08-14
399720,가온칩스,매출 구성,장부금액,49.4,반기보고서 (2026.06),2026-08-14
399720,가온칩스,매출 구성,전환시 발행할 주식수,1.1,반기보고서 (2026.06),2026-08-14
399720,가온칩스,매출 구성,전환가액,0.1,반기보고서 (2026.06),2026-08-14
036620,감성코퍼레이션,매출 구성,의류사업부문,96.8,반기보고서 (2026.06),2026-08-14
036620,감성코퍼레이션,매출 구성,모바일사업부문,3.2,반기보고서 (2026.06),2026-08-14
000860,강남제비스코,매출 구성,도료,51.2,반기보고서 (2026.06),2026-08-14
000860,강남제비스코,매출 구성,합성수지,38.5,반기보고서 (2026.06),2026-08-14
000860,강남제비스코,매출 구성,복합성형재료등,10.3,반기보고서 (2026.06),2026-08-14
198440,강동씨앤엘,매출 구성,"제품, 상품",51.8,반기보고서 (2026.06),2026-08-14
198440,강동씨앤엘,매출 구성,레저,47.8,반기보고서 (2026.06),2026-08-14
198440,강동씨앤엘,매출 구성,기타,0.5,반기보고서 (2026.06),2026-08-14
217730,강스템바이오텍,매출 구성,줄기세포사업부,66.3,반기보고서 (2026.06),2026-08-13
217730,강스템바이오텍,매출 구성,화장품사업부,33.7,반기보고서 (2026.06),2026-08-13
114190,강원에너지,매출 구성,플랜트사업부문,100,반기보고서 (2026.06),2026-08-14
094480,갤럭시아머니트리,매출 구성,전자결제사업,74.7,반기보고서 (2026.06),2026-08-14
094480,갤럭시아머니트리,매출 구성,O2O사업,25.2,반기보고서 (2026.06),2026-08-14
094480,갤럭시아머니트리,매출 구성,기타(신규)사업,0,반기보고서 (2026.06),2026-08-14
011420,갤럭시아에스엠,매출 구성,프리미엄 피트니스,78.1,반기보고서 (2026.06),2026-08-14
011420,갤럭시아에스엠,매출 구성,마케팅 서비스,21.9,반기보고서 (2026.06),2026-08-14
039240,경남스틸,매출 구성,제1차철강산업,100,반기보고서 (2026.06),2026-08-14
053950,경남제약,매출 구성,의약품제조및판매,92.5,반기보고서 (2026.06),2026-08-14
053950,경남제약,매출 구성,기타(아센디오),6.8,반기보고서 (2026.06),2026-08-14
053950,경남제약,매출 구성,임대,0.6,반기보고서 (2026.06),2026-08-14
053950,경남제약,매출 구성,로열티,0.1,반기보고서 (2026.06),2026-08-14
002100,경농,매출 구성,작물보호제,62.9,반기보고서 (2026.06),2026-08-14
002100,경농,매출 구성,비료,32.3,반기보고서 (2026.06),2026-08-14
002100,경농,매출 구성,스마트팜,2.1,반기보고서 (2026.06),2026-08-14
002100,경농,매출 구성,곤충,1.1,반기보고서 (2026.06),2026-08-14
002100,경농,매출 구성,그 밖,1.5,반기보고서 (2026.06),2026-08-14
009450,경동나비엔,매출 구성,이자비용,65,반기보고서 (2026.06),2026-08-14
009450,경동나비엔,매출 구성,순효과,35,반기보고서 (2026.06),2026-08-14
267290,경동도시가스,매출 구성,도시가스,99.2,반기보고서 (2026.06),2026-08-14
267290,경동도시가스,매출 구성,안전관리,0.8,반기보고서 (2026.06),2026-08-14
000050,경방,매출 구성,국내매출액,68,반기보고서 (2026.06),2026-08-14
000050,경방,매출 구성,해외매출액,32,반기보고서 (2026.06),2026-08-14
214390,경보제약,매출 구성,원료의약품,72.4,반기보고서 (2026.06),2026-08-14
214390,경보제약,매출 구성,완제의약품,26.8,반기보고서 (2026.06),2026-08-14
214390,경보제약,매출 구성,기타*,0.8,반기보고서 (2026.06),2026-08-14
009140,경인전자,매출 구성,REMOCON,50,반기보고서 (2026.06),2026-08-14
009140,경인전자,매출 구성,기타,25,반기보고서 (2026.06),2026-08-14
009140,경인전자,매출 구성,TMS,12.5,반기보고서 (2026.06),2026-08-14
009140,경인전자,매출 구성,SWITCH,12.5,반기보고서 (2026.06),2026-08-14
013580,계룡건설산업,매출 구성,건축계약공사,57.5,반기보고서 (2026.06),2026-08-14
013580,계룡건설산업,매출 구성,토목계약공사,23.4,반기보고서 (2026.06),2026-08-14
013580,계룡건설산업,매출 구성,유통,11.5,반기보고서 (2026.06),2026-08-14
013580,계룡건설산업,매출 구성,분양,4.1,반기보고서 (2026.06),2026-08-14
013580,계룡건설산업,매출 구성,그 밖,3.4,반기보고서 (2026.06),2026-08-14
012200,계양전기,매출 구성,전장품(천안),73,반기보고서 (2026.06),2026-08-14
012200,계양전기,매출 구성,"산업용품(안산, 소주)",27,반기보고서 (2026.06),2026-08-14
002140,고려산업,매출 구성,사료부문,94.9,반기보고서 (2026.06),2026-08-14
002140,고려산업,매출 구성,기타사업부문,5.1,반기보고서 (2026.06),2026-08-14
010130,고려아연,매출 구성,상품,89.7,반기보고서 (2026.06),2026-08-14
010130,고려아연,매출 구성,제품 및반제품,9,반기보고서 (2026.06),2026-08-14
