종목코드,소액주주비율,주주수,기준연도
079940,22.8,5575,2025
078890,67.01,17754,2025
000500,16.14,15344,2025
399720,45.77,47447,2025
036620,56.41,15625,2025
000860,35.79,3099,2025
198440,30.63,21342,2025
217730,73.87,17809,2025
035250,37.5,99145,2025
114190,49.64,39375,2025
094480,45.35,32412,2025
011420,53.69,8222,2025
039240,40.89,14335,2025
053950,51.42,26502,2025
002100,23.89,10312,2025
009450,34.7,27457,2025
267290,42.78,5949,2025
011040,33.71,11575,2025
000050,18.79,10387,2025
214390,38.2,12213,2025
012610,61.24,33937,2025
009140,28.6,2083,2025
013580,52.12,15395,2025
012200,46.55,15446,2025
002140,49.91,14489,2025
010130,14.97,35825,2025
002240,23.79,9040,2025
014570,46.58,7873,2025
348150,64.85,26099,2025
950190,43.68,11960,2025
098460,55.61,121069,2025
035290,43.13,9324,2025
215000,48.61,20791,2025
183410,13.61,184,2023
009290,41.26,27409,2025
086220,8.87,285,2025
017040,65.77,21263,2025
029480,56.9,18582,2025
017900,38.87,12555,2025
037710,31.98,6648,2025
030610,14.3,15929,2025
339770,29.55,22238,2025
053270,43.16,12503,2025
007690,30.79,11421,2025
001140,71.55,18204,2025
066620,23.1,3809,2025
043650,40.31,14181,2025
006050,73.47,11176,2025
060480,52.72,5006,2025
078130,10.86,46793,2025
307750,40.51,24900,2025
002720,57.17,16206,2025
035080,59.16,47203,2025
318060,47.47,16990,2025
453450,42.5,21682,2025
204020,42.8,4434,2025
0015G0,45.43,28775,2025
402490,47.01,19725,2025
114450,63.57,23607,2025
083420,34.65,19478,2025
186230,73.4,19021,2025
014530,75.82,12368,2025
900070,44.9,5080,2025
204620,48.11,21100,2025
014280,39.72,12876,2025
053260,19.21,9567,2025
001570,72.31,235865,2025
282720,45.29,14999,2025
002990,47.84,26645,2025
011780,49.22,75188,2025
001210,57.72,9853,2025
073240,38.28,118487,2025
036190,27.33,4973,2025
049080,62.1,19190,2025
035460,59.2,7794,2025
092440,28.17,5214,2025
000270,54.06,359184,2025
024110,27.7,228703,2025
004540,39.72,18143,2025
187790,69.53,7543,2025
238540,2.9,5,2025
121600,69.85,108352,2025
286750,57.44,5034,2025
039860,58.96,37052,2025
244880,23.45,224,2025
405920,21.56,4269,2025
478340,34.8,36668,2025
051490,60.86,13701,2025
137080,51.08,17922,2025
190510,52.79,10682,2025
242040,69.46,13788,2025
459510,44.74,33758,2025
257990,22.96,354,2025
293580,34.37,9091,2025
138610,80.7,20395,2025
036800,31.7,6545,2025
366030,33.09,14661,2025
001260,32.32,9281,2025
008350,68.44,94341,2025
003920,30.31,6342,2025
025860,40.5,41374,2025
111710,14.77,4229,2025
091590,40.74,5600,2025
168330,49.41,12680,2025
094860,62.13,8920,2025
253590,43.53,37818,2025
212560,44.2,4416,2025
095660,49.7,17009,2025
042420,22.02,8246,2025
950220,78.59,42586,2025
311390,40.15,4847,2025
085910,52.1,8891,2025
153460,23.33,1311,2025
007390,81.76,61906,2025
033640,72.7,48484,2025
330860,48.72,22969,2025
005720,22.59,4163,2025
002350,21.01,40932,2025
089140,69.38,16684,2025
389650,56.83,21019,2025
137940,54.64,13936,2025
396270,66.94,45512,2025
348210,59.48,14767,2025
092790,37.06,20932,2025
225570,29.56,47421,2025
205500,47.15,11872,2025
217270,31.39,19578,2025
251270,27.66,98033,2025
317860,25.44,161,2025
104620,55.81,34503,2025
090350,43.42,15655,2025
000320,22.57,5973,2025
473980,55.5,11626,2025
194700,47.45,12788,2025
285490,31.29,12401,2025
283100,27.29,300,2024
145170,46.19,22143,2025
229500,48.52,2153,2025
106520,75.23,16330,2025
376930,76.06,25026,2025
006280,40,47600,2025
142280,48.23,19404,2025
234690,43.98,8729,2025
005250,41.52,26208,2025
004370,38.1,45210,2025
072710,30.64,15142,2025
040160,46.66,5972,2025
332290,43.04,9901,2025
348340,74.6,54745,2025
380550,64.54,40493,2025
463020,39.07,23840,2025
123840,17.63,7348,2025
012340,78.98,17482,2025
462310,28.43,6927,2025
270870,36.87,7957,2025
144960,48.33,11038,2025
085670,56.34,17687,2025
064260,76.97,125068,2025
340360,58.03,5118,2025
039560,68.94,27952,2025
058730,56.23,9874,2025
030210,36.89,11156,2025
023590,32.98,19575,2025
032190,30.83,13181,2025
145210,63.38,11390,2025
483650,47.11,60391,2025
464580,37.91,12499,2025
019680,12.71,19115,2025
006370,39.14,3423,2025
008060,49.34,12689,2025
353200,56.59,74176,2025
000490,55.36,28813,2025
