종목코드,최대주주명,지분율,본인지분율,특수관계인수,기준일
079940,김홍국,26,18.5,6,2025-12-31
078890,임동연,18.06,15.17,4,2025-12-31
000500,LS전선㈜,81.63,81.62,1,2025-12-31
399720,정규동,47.77,28.81,13,2025-12-31
036620,김호선,29.46,23.98,4,2025-12-31
000860,임예정,50.64,23.95,10,2025-12-31
198440,강대완,69.28,0.1,11,2025-12-31
217730,주식회사 세종,19.79,19.79,0,2025-12-31
035250,한국광해광업공단,36.27,36.27,0,2025-12-31
114190,(주)평산파트너스,47.17,46.34,2,2025-12-31
094480,조현준,54.65,32.99,3,2025-12-31
011420,트리니티에셋매니지먼트(주),40.94,22.41,3,2025-12-31
039240,최석우,42.35,15.75,7,2025-12-31
192520,(주)BNK금융지주,100,100,0,2025-12-31
053950,㈜빌리언스,27.59,17.92,1,2025-12-31
002100,(주)동오홀딩스,67.61,30.64,4,2025-12-31
009450,(주)경동원,57.61,56.72,1,2025-12-31
267290,(주)경동인베스트,50.91,37.04,9,2025-12-31
011040,류기성,45.53,17.51,52,2025-12-31
000050,김담,56.15,20.98,23,2025-12-31
214390,(주)종근당홀딩스,60.56,43.41,7,2025-12-31
012610,김흥준,33.91,20.44,19,2025-12-31
009140,김성은,50.66,49.98,6,2025-12-31
013580,이승찬,38.5,22.97,15,2025-12-31
012200,해성산업㈜,45.27,34,10,2025-12-31
002140,금강공업(주),47.4,47.39,1,2025-12-31
010130,(유)와이피씨,32.88,25.21,15,2025-12-31
002240,홍석표,67.79,20.07,11,2025-12-31
014570,박상훈,50.19,38.84,4,2025-12-31
348150,고광표,29.83,25.7,11,2025-12-31
950190,(주)미투온,53.6,44.01,2,2025-12-31
098460,고영홀딩스,20.48,20,24,2025-12-31
035290,에스제이더블유&골드투자조합,50.34,50.34,0,2025-12-31
215000,골프존홀딩스,39.44,22.01,15,2025-12-31
183410,(주)골프존,100,100,1,2024-12-31
009290,최성원,18.19,6.59,15,2025-12-31
086220,광동제약(주),65.61,65.61,0,2025-12-31
017040,피앤씨테크(주),24.16,23.66,2,2025-12-31
029480,(주)협진,25.59,25.59,0,2025-12-31
017900,나카지마히로카즈,53.13,17.05,6,2025-12-31
037710,(주)신세계,62.84,62.84,1,2025-12-31
192530,(주)JB금융지주,100,100,0,2025-12-31
030610,교보생명보험(주),84.74,84.72,1,2025-12-31
339770,권원강,69.43,69.2,9,2025-12-31
053270,㈜미광정공,45.69,22.37,4,2025-12-31
007690,국도코퍼레이션㈜,32.25,29.44,2,2025-12-31
001140,엠부동산성장1호투자목적 유한회사,27.2,27.19,1,2025-12-31
066620,황창연,53.14,46.53,3,2025-12-31
043650,배중호,42.83,36.59,6,2025-12-31
006050,최재원,14.37,8.08,7,2025-12-31
060480,손인국,42.5,42.27,2,2025-12-31
078130,(주)삼라마이다스,89.14,89.14,0,2025-12-31
307750,홍종호,58.59,42.6,8,2025-12-31
002720,남영우,37.87,8.58,9,2025-12-31
035080,이기형,34.33,34.14,6,2025-12-31
318060,심운섭,28.72,28.14,5,2025-12-31
453450,김구환,28.82,21.74,2,2025-12-31
204020,문영우,37.9,34.72,7,2025-12-31
0015G0,조현일,50.54,32.38,3,2025-12-31
402490,이종범,50.13,25.03,3,2025-12-31
114450,(주)관악상사,26.81,13,2,2025-12-31
083420,(주)건덕상사,59.8,25.47,4,2025-12-31
186230,박영환,31.07,21.27,8,2025-12-31
014530,장홍선,43.82,0,12,2025-12-31
900070,㈜서울메탈홀딩스,49.36,37.78,4,2025-12-31
204620,문양근,23.09,18.98,3,2025-12-31
014280,안영순,39.58,10.83,7,2025-12-31
053260,주광남,52.32,28.74,3,2025-12-31
008870,고기영,57.01,11.76,10,2025-09-30
001570,류광지,26.55,22.09,7,2025-12-31
282720,이윤철,59.89,17.28,19,2025-12-31
002990,금호고속(주),47.77,44.13,5,2025-12-31
011780,박철완,29.16,9.98,14,2025-12-31
001210,(주)신주홀딩스,32.12,2.31,10,2025-12-31
073240,싱웨이코리아 주식회사,45,45,0,2025-12-31
036190,김성기,37.51,14.67,13,2025-12-31
049080,(주)케플러밸류파트너스,27.5,12.3,5,2025-12-31
420770,김종준,60.89,18.05,4,2025-12-31
035460,박병기,35.22,30.77,2,2025-12-31
092440,후타바전자공업(주),70.38,60.89,6,2025-03-31
000270,현대자동차,36.99,35.17,4,2025-12-31
024110,기획재정부,68.5,59.5,2,2025-12-31
004540,최정규,40.03,16.12,9,2025-12-31
187790,신동우,10.5,9.82,10,2025-12-31
